hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
0b13f286a2068bae1cc6034fb38f1503,ndist.b.26986.cnf,sat,sat,1035.944,174.59,3.295,2.235,11.306,10000.0
0b22aa567ddfa8d702378b76167c9195,partial-5-17-s.cnf,sat,sat,362.985,620.718,176.617,159.413,2984.428,440.347
0b289d226ccc2a1798af1006ae7d9c28,pb_400_09_lb_05.cnf,sat,sat,134.708,263.652,21.904,17.398,88.389,10000.0
0b2d1228c056ad88a69e5464b0b05669,mrpp_8x8#22_20.cnf,sat,sat,126.173,182.629,66.502,14.868,86.136,94.046
0b348eb6b61e4f0026437fda402c9b62,vlsat2_16676_1598591.dimacs.cnf,sat,sat,432.211,141.56,1.975,7.118,131.404,4408.952
0b4421f6aac81e2dbc87c5b5ddae6511,52bits_12.dimacs.cnf,sat,sat,3413.639,10000.0,146.412,1771.074,10000.0,56.664
0b4a57d8dab789e2476be5b1ac680eeb,sat-grid-pbl-0070.sat05-1334.reshuffled-07.cnf,sat,sat,10.917,7.511,81.325,0.066,3.324,10000.0
0b60f19be0b62cf337d7240821869488,002-80-12.cnf,sat,sat,10000.0,10000.0,256.961,677.593,10000.0,219.433
0b847cc85f4f7e733b2746c6efb02dd8,UR-20-5p1-sc2009.cnf,sat,sat,408.496,251.057,123.769,128.568,1277.902,963.042
0b8d274c5bf66683cbdd1238771b31f5,queen8-8-9.cnf,sat,sat,1.093,3.852,0.849,2.838,1.053,5.805
0b9c26a4c70242841fad1868c266dc9c,Eternity-10-05_c18.cnf,sat,sat,44.29,120.852,4.372,5.048,19.426,4.629
0b9f8c85eaff9eed98a0c5cd3189afb7,transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN.cnf,sat,sat,160.616,319.14,43.651,133.419,1550.054,245.127
0baf01d658e8ba1a73915c2360fd2407,12pipe_bug7_q0.cnf,sat,sat,98.956,190.582,95.06,39.399,11.497,320.402
0bbdb9c15c80e79e8c8059246d7480b3,lksat-n1100-m4103-k3-l5-s558351420.used-as.sat04-934.cnf,sat,sat,16.997,5.988,0.667,11.517,2.241,10000.0
0bc5a5c4dadf09bf4d0409fc04be2337,mp1-9_9.cnf,sat,sat,44.133,39.331,2.279,71.685,416.293,231.139
0bd2c7b1f17c160b40be0ddd2846e1e3,driverlog2_ks99i.shuffled-as.sat05-4019.cnf,sat,sat,0.295,0.786,0.921,0.089,1.271,1.795
0c3d709ab7576354e69ad01dfab14cdb,php-018-018.shuffled-as.sat05-1161.cnf,sat,sat,16.477,0.45,0.667,0.6,2.795,5.41
0c3f1f7994db2452d505333684d3ccd7,frb53-24-2.used-as.sat04-888.cnf,sat,sat,10000.0,10000.0,157.121,2603.327,10000.0,10000.0
0c40255fc17d99908bda16373de5ada3,289-sat-6x9.cnf,sat,sat,0.156,0.252,0.668,0.053,2.43,4.688
0c60cae1d0bd8a26f87a3aab7077e0d8,modgen-n200-m90860q08c40-16597.cnf,sat,sat,65.027,86.84,11.576,22.494,20.096,30.108
0c75119940f87f2bc1dc3f53aeedc02b,20-100-lambda100-89_sat.cnf,sat,sat,260.306,463.383,254.361,326.846,821.001,835.117
0c945ea640ceb4c2f80463f7930ccb89,bart19.shuffled.cnf,sat,sat,1.028,0.298,1.464,0.115,1.212,2.812
0c9bcbc815cf0f109b7aeef3fbffc42d,par32-2.shuffled-as.sat03-1534.cnf,sat,sat,10000.0,10000.0,10000.0,4465.514,4335.326,10000.0
0cbe117e0149223a332679d6c206273e,srhd-sgi-m27-q255-n25-p15-s2076598.cnf,sat,sat,195.38,29.321,82.026,8.223,5.649,83.501
0cbf8baaec52ee50ccac930d237689af,UTI-10-5t1.cnf,sat,sat,10.691,32.165,1.57,3.685,11.337,56.523
0cfe9c90d3a51435a5e4dba7634b882f,g2-ak128boothbg2msisc.cnf,sat,sat,3235.717,10000.0,479.333,19.275,286.606,10000.0
0d16634437519c6d2e1ae0cf82145e07,connm-ue-csp-sat-n1200-d-0.04-s706145924.used-as.sat04-971.cnf,sat,sat,22.633,54.545,97.296,214.724,5.195,173.29
0d209cb420326994f9c4898eb10228ab,008-80-8.cnf,sat,sat,381.308,10000.0,227.35,36.101,1844.348,165.833
0d32d1684e3bf275566925e996ee525b,ibm-2002-04r-k80.cnf,sat,sat,53.373,139.384,15.184,20.169,31.595,63.999
0d3bdfd1b4eb3fb16eeb2d8437db66a2,mod2-rand3bip-sat-260-3.shuffled-as.sat05-2235.cnf,sat,sat,693.273,674.985,1.269,103.15,1815.342,3.726
0d469f1798ea769cf279c9ae32fda704,ferry8_v01a.shuffled-as.sat05-4073.cnf,sat,sat,1.067,3.526,0.666,0.14,1.783,3.215
0d7f17f04ed073a8ea39e72783186cdb,49-132779.cnf,sat,sat,770.015,358.553,180.005,166.064,246.13,164.153
0d9fd2c25b5d342a4ba81b61adff4cb8,gensys-brn004.shuffled-as.sat05-2748.cnf,sat,sat,2.514,1.858,1.575,0.175,1.677,1.474
0de99d1b407af4eda689e2945fa86813,3col180_5_6.shuffled.cnf,sat,sat,4.353,0.427,0.769,0.791,4.381,3.85
0e2d6a8d344a5011a262e4709f27860b,10142772393204023fw.shuffled-as.sat03-1661.cnf,sat,sat,52.992,43.321,10.075,2003.5,104.939,9.812
0e775873f4c4bbc81ff92b87dd3e15e8,grid-strips-grid-y-3.045-NOTKNOWN.cnf,sat,sat,1033.986,628.997,41.205,144.245,2188.989,219.037
0e820229802d400529e31e5d6d01f283,too_large_gr_rcs_w9.shuffled.cnf,sat,sat,1.138,2.092,0.671,0.326,4.234,5.384
0e95945de777e522ea509512bb49b4d4,4col240_9_2.shuffled.cnf,sat,sat,10000.0,10000.0,90.045,10000.0,10000.0,10000.0
0e9f0315dd6f93a2613812dfbfcfffa9,modgen-n200-m90860q08c40-18788.cnf,sat,sat,74.342,133.963,18.887,63.062,17.501,344.648
0ea326438968cc2d842332621db90b31,traffic_r_sat.cnf,sat,sat,115.466,302.604,15.608,19.364,70.558,50.941
0ede0472f02605ec291fd09b161a99bb,g2-T169.1.0.cnf,sat,sat,2766.59,10000.0,10000.0,249.247,3969.979,1960.744
